Date,Temp_F,Humidity,PM2.5,AQI
2021-09-01 00:00:00 UTC,62.17,64.03,13.19,Low
2021-09-01 01:00:00 UTC,61.7,64.9,13.99,Low
2021-09-01 02:00:00 UTC,61,65.13,15.51,Low
2021-09-01 03:00:00 UTC,61,65.7,17.47,Low
2021-09-01 04:00:00 UTC,60.4,66.57,19.17,Low
2021-09-01 05:00:00 UTC,60.93,66,21.16,High
2021-09-01 06:00:00 UTC,61.9,64.27,21.65,High
2021-09-01 07:00:00 UTC,63.9,60.57,20.38,High
2021-09-01 08:00:00 UTC,66,57.15,17.7,Low
2021-09-01 09:00:00 UTC,71.7,42.5,13.85,Low
2021-09-01 10:00:00 UTC,74.57,41.97,9.47,Low
2021-09-01 11:00:00 UTC,76.17,35.5,7.01,Low
2021-09-01 12:00:00 UTC,77.57,32.7,6.92,Low
2021-09-01 13:00:00 UTC,78,31.33,6.58,Low
2021-09-01 14:00:00 UTC,77.9,31.67,6.81,Low
2021-09-01 15:00:00 UTC,77.27,32.47,6.93,Low
2021-09-01 16:00:00 UTC,76.17,34.73,7.38,Low
2021-09-01 17:00:00 UTC,74.97,37.6,8.03,Low
2021-09-01 18:00:00 UTC,71.37,44.07,9.8,Low
2021-09-01 19:00:00 UTC,68.77,50.13,17.38,Low
2021-09-01 20:00:00 UTC,66.83,53.53,16.94,Low
2021-09-01 21:00:00 UTC,66,54.87,13.87,Low
2021-09-01 22:00:00 UTC,64.9,54.67,12.67,Low
2021-09-01 23:00:00 UTC,63.57,57.37,13.03,Low
2021-09-02 00:00:00 UTC,62.17,60.23,13.07,Low
2021-09-02 01:00:00 UTC,61,61.47,13.11,Low
2021-09-02 02:00:00 UTC,60,62.43,13.29,Low
2021-09-02 03:00:00 UTC,59.03,63.77,14.02,Low
2021-09-02 04:00:00 UTC,58.2,65.2,15.21,Low
2021-09-02 05:00:00 UTC,58.67,64.5,18.78,Low
2021-09-02 06:00:00 UTC,64.6,55.67,17.31,Low
2021-09-02 07:00:00 UTC,69.97,47.03,16.36,Low
2021-09-02 08:00:00 UTC,72.07,44.76,17.02,Low
2021-09-02 09:00:00 UTC,75.76,41.66,16.49,Low
2021-09-02 10:00:00 UTC,76.7,40.63,15.38,Low
2021-09-02 11:00:00 UTC,79.4,38.77,13.9,Low
2021-09-02 12:00:00 UTC,81.07,36.86,12.25,Low
2021-09-02 13:00:00 UTC,80.86,37,10.99,Low
2021-09-02 14:00:00 UTC,81.04,36.64,11,Low
2021-09-02 15:00:00 UTC,80.77,37,10.81,Low
2021-09-02 16:00:00 UTC,79.32,38.82,11.34,Low
2021-09-02 17:00:00 UTC,77.13,40.68,10.51,Low
2021-09-02 18:00:00 UTC,74.23,47.07,13.27,Low
2021-09-02 19:00:00 UTC,71.4,51.23,13.53,Low
2021-09-02 20:00:00 UTC,68.97,56.43,13.18,Low
2021-09-02 21:00:00 UTC,67.73,57,12.61,Low
2021-09-02 22:00:00 UTC,66.03,59.63,13.7,Low
2021-09-02 23:00:00 UTC,64.57,62.1,14.28,Low
2021-09-03 00:00:00 UTC,63.47,63.43,14.23,Low
2021-09-03 01:00:00 UTC,62.37,64.37,14.22,Low
2021-09-03 02:00:00 UTC,61.97,64.8,14.25,Low
2021-09-03 03:00:00 UTC,61.03,65.63,14.34,Low
2021-09-03 04:00:00 UTC,60.9,66.27,14.36,Low
2021-09-03 05:00:00 UTC,61.17,65.67,16.69,Low
2021-09-03 06:00:00 UTC,65.72,59.08,17.81,Low
2021-09-03 07:00:00 UTC,72.94,47.06,18.29,Low
2021-09-03 08:00:00 UTC,78.41,39.86,16.48,Low
2021-09-03 09:00:00 UTC,82.27,36.3,16.32,Low
2021-09-03 10:00:00 UTC,84.73,34.67,17.56,Low
2021-09-03 11:00:00 UTC,87.67,32.3,15.13,Low
2021-09-03 12:00:00 UTC,87.1,30.97,12.78,Low
2021-09-03 13:00:00 UTC,88.33,27.27,9.98,Low
2021-09-03 14:00:00 UTC,89.17,25.13,8.67,Low
2021-09-03 15:00:00 UTC,86.63,26.03,8.28,Low
2021-09-03 16:00:00 UTC,84.8,28.07,7.88,Low
2021-09-03 17:00:00 UTC,81.53,36.47,11.58,Low
2021-09-03 18:00:00 UTC,76.23,46.97,16.93,Low
2021-09-03 19:00:00 UTC,72.33,51.63,16.05,Low
2021-09-03 20:00:00 UTC,70.2,55.5,14.27,Low
2021-09-03 21:00:00 UTC,67.87,59,18.56,Low
2021-09-03 22:00:00 UTC,66.53,61.2,21.84,High
2021-09-03 23:00:00 UTC,65.57,63,21.89,High
2021-09-04 00:00:00 UTC,64.6,63.6,18.97,Low
2021-09-04 01:00:00 UTC,63.5,65.2,19.64,Low
2021-09-04 02:00:00 UTC,63.1,65.9,19.41,Low
2021-09-04 03:00:00 UTC,62.47,66.43,19.96,Low
2021-09-04 04:00:00 UTC,61.93,66.97,20.13,High
2021-09-04 05:00:00 UTC,62.13,67.33,21.66,High
2021-09-04 06:00:00 UTC,68.2,60.13,25.28,High
2021-09-04 07:00:00 UTC,74.83,49.83,28.43,High
2021-09-04 08:00:00 UTC,78.97,43.53,24.62,High
2021-09-04 09:00:00 UTC,84.1,34.9,18.62,Low
2021-09-04 10:00:00 UTC,90.5,30.43,19.32,Low
2021-09-04 11:00:00 UTC,89.53,29.4,15.42,Low
2021-09-04 12:00:00 UTC,87.1,29.17,16.13,Low
2021-09-04 13:00:00 UTC,87.5,30.03,15.74,Low
2021-09-04 14:00:00 UTC,86.17,29.67,12.41,Low
2021-09-04 15:00:00 UTC,85,32.67,17.28,Low
2021-09-04 16:00:00 UTC,83.3,34.63,13.28,Low
2021-09-04 17:00:00 UTC,80.73,36.2,15.88,Low
2021-09-04 18:00:00 UTC,76.63,47.77,15.62,Low
2021-09-04 19:00:00 UTC,73.23,52.83,23.47,High
2021-09-04 20:00:00 UTC,68.2,56.47,24.24,High
2021-09-04 21:00:00 UTC,69.03,59.67,24.09,High
2021-09-04 22:00:00 UTC,67.63,61.2,20.17,High
2021-09-04 23:00:00 UTC,66.23,62.3,19.73,Low
2021-09-05 00:00:00 UTC,65.1,64.6,20.14,High
2021-09-05 01:00:00 UTC,64.93,63.8,20.99,High
2021-09-05 02:00:00 UTC,63.77,65.57,20.96,High
2021-09-05 03:00:00 UTC,63,61,21.45,High
2021-09-05 04:00:00 UTC,62.2,66.5,20.23,High
2021-09-05 05:00:00 UTC,62.6,66.37,38.1,High
2021-09-05 06:00:00 UTC,67.43,60.8,36.3,High
2021-09-05 07:00:00 UTC,75.57,49.17,35.2,High
2021-09-05 08:00:00 UTC,83.57,37.77,28,High
2021-09-05 09:00:00 UTC,86.53,32.93,16.44,Low
2021-09-05 10:00:00 UTC,89.47,30.03,15.95,Low
2021-09-05 11:00:00 UTC,88.4,30.07,14.43,Low
2021-09-05 12:00:00 UTC,88.63,31.1,14.06,Low
2021-09-05 13:00:00 UTC,87.73,29.53,12.13,Low
2021-09-05 14:00:00 UTC,87.53,28.47,10.31,Low
2021-09-05 15:00:00 UTC,86.43,28.9,9.67,Low
2021-09-05 16:00:00 UTC,84.07,32.33,10.29,Low
2021-09-05 17:00:00 UTC,81.4,35.6,9.41,Low
2021-09-05 18:00:00 UTC,76.6,46.63,11.22,Low
2021-09-05 19:00:00 UTC,72.57,52.3,14.64,Low
2021-09-05 20:00:00 UTC,70.43,55.43,15.79,Low
2021-09-05 21:00:00 UTC,69,58.7,15.16,Low
2021-09-05 22:00:00 UTC,67.54,61.46,15.88,Low
2021-09-05 23:00:00 UTC,66.62,62.81,15.6,Low
