created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3
2021-09-01 00:00:00 UTC,8.51,13.19,15.23,633,-89.93,62.17,64.03,13.19
2021-09-01 01:00:00 UTC,9.04,13.99,16.09,693,-90.37,61.7,64.9,13.99
2021-09-01 02:00:00 UTC,10.15,15.51,17.9,753,-89.8,61,65.13,15.51
2021-09-01 03:00:00 UTC,11.08,17.47,20.01,813,-87.73,61,65.7,17.47
2021-09-01 04:00:00 UTC,12.12,19.17,22.2,873,-87.3,60.4,66.57,19.17
2021-09-01 05:00:00 UTC,13.09,21.31,24.53,933,-88.27,60.93,66,21.16
2021-09-01 06:00:00 UTC,13.46,21.65,25.13,993,-86.97,61.9,64.27,21.65
2021-09-01 07:00:00 UTC,13,20.38,23.7,1053,-87.5,63.9,60.57,20.38
2021-09-01 08:00:00 UTC,11.35,17.7,20.2,1112.15,-89.81,66,57.15,17.7
2021-09-01 09:00:00 UTC,9.33,13.85,15.48,1173,-88.43,71.7,48.27,13.85
2021-09-01 10:00:00 UTC,6.44,9.47,10.49,1233,-86.57,74.57,41.97,9.47
2021-09-01 11:00:00 UTC,5,7.01,7.77,1293,-88.63,76.17,35.5,7.01
2021-09-01 12:00:00 UTC,4.88,6.92,7.59,1353,-87.9,77.57,32.7,6.92
2021-09-01 13:00:00 UTC,4.7,6.58,7.25,1413,-89.1,78,31.33,6.58
2021-09-01 14:00:00 UTC,4.7,6.81,7.65,1473,-88.83,77.9,31.67,6.81
2021-09-01 15:00:00 UTC,4.85,6.93,7.71,1533,-90.2,77.27,32.47,6.93
2021-09-01 16:00:00 UTC,5.31,7.38,8.36,1593,-89.47,76.17,34.73,7.38
2021-09-01 17:00:00 UTC,5.71,8.03,8.92,1653,-89.4,74.97,37.6,8.03
2021-09-01 18:00:00 UTC,6.4,9.8,10.93,1713,-89.67,71.37,44.07,9.8
2021-09-01 19:00:00 UTC,12.32,17.39,19.23,1773,-89.67,68.77,50.13,17.38
2021-09-01 20:00:00 UTC,43.34,42.25,30.53,1833,-90.17,66.83,53.53,16.94
2021-09-01 21:00:00 UTC,9.79,13.87,15.34,1893,-89.37,66,54.87,13.87
2021-09-01 22:00:00 UTC,8.9,12.67,13.94,1953,-90.03,64.9,54.67,12.67
2021-09-01 23:00:00 UTC,8.94,13.03,14.69,2013,-89.83,63.57,57.37,13.03
2021-09-02 00:00:00 UTC,8.99,13.07,14.88,2073,-88.9,62.17,60.23,13.07
2021-09-02 01:00:00 UTC,9.03,13.11,14.62,2133,-89.13,61,61.47,13.11
2021-09-02 02:00:00 UTC,8.99,13.29,14.78,2193,-89.6,60,62.43,13.29
2021-09-02 03:00:00 UTC,9.97,14.02,15.91,2253,-89.6,59.03,63.77,14.02
2021-09-02 04:00:00 UTC,10.55,15.21,17.14,2313,-88.73,58.2,65.2,15.21
2021-09-02 05:00:00 UTC,13.89,19.76,22.28,2373,-90.77,58.67,64.5,18.78
2021-09-02 06:00:00 UTC,11.81,17.31,19.61,2433,-88.3,64.6,55.67,17.31
2021-09-02 07:00:00 UTC,11.15,16.36,18.44,2493,-91.1,69.97,47.03,16.36
2021-09-02 08:00:00 UTC,11.84,17.02,19.01,2553.45,-91.62,72.07,44.76,17.02
2021-09-02 09:00:00 UTC,11.47,16.49,18,2614,-93.21,75.76,41.66,16.49
2021-09-02 10:00:00 UTC,10.51,15.38,16.84,2673,-91.87,76.7,40.63,15.38
2021-09-02 11:00:00 UTC,9.99,13.9,15.12,2733,-88.4,79.4,38.77,13.9
2021-09-02 12:00:00 UTC,9,12.25,13.38,2791.5,-88.57,81.07,36.86,12.25
2021-09-02 13:00:00 UTC,8.33,10.99,12.05,16,-87.86,80.86,37,10.99
2021-09-02 14:00:00 UTC,8.17,11,11.79,51.07,-89.75,81.04,36.64,11
2021-09-02 15:00:00 UTC,7.97,10.81,11.55,112,-92.29,80.77,37,10.81
2021-09-02 16:00:00 UTC,8.35,11.34,12.23,171.57,-91.82,79.32,38.82,11.34
2021-09-02 17:00:00 UTC,7.65,10.51,11.7,232,-92.06,77.13,40.68,10.51
2021-09-02 18:00:00 UTC,9.43,13.27,14.42,293,-92.2,74.23,47.07,13.27
2021-09-02 19:00:00 UTC,9.78,13.53,14.93,353,-92.13,71.4,51.23,13.53
2021-09-02 20:00:00 UTC,9.64,13.18,14.83,413,-93.93,68.97,56.43,13.18
2021-09-02 21:00:00 UTC,9,12.61,14.27,473,-91.63,67.73,57,12.61
2021-09-02 22:00:00 UTC,9.47,13.7,15.2,533,-91.93,66.03,59.63,13.7
2021-09-02 23:00:00 UTC,9.57,14.28,15.96,593,-91.9,64.57,62.1,14.28
2021-09-03 00:00:00 UTC,9.61,14.23,15.75,653,-91.9,63.47,63.43,14.23
2021-09-03 01:00:00 UTC,9.61,14.22,15.73,713,-91.83,62.37,64.37,14.22
2021-09-03 02:00:00 UTC,9.68,14.25,16.03,773,-92.8,61.97,64.8,14.25
2021-09-03 03:00:00 UTC,9.61,14.34,15.84,833,-92.33,61.03,65.63,14.34
2021-09-03 04:00:00 UTC,9.65,14.36,16.48,893,-90.7,60.9,66.27,14.36
2021-09-03 05:00:00 UTC,11.13,16.8,18.84,953,-92.27,61.17,65.67,16.69
