time,s1_temp,s1_hum,s1_pm1,s1_pm25,s1_pm10,ref_pm25
01/08/2021 00:01,16.16,58.69,6.53,8.22,9.37,6.4
01/08/2021 01:01,16,57.83,7.1,9.24,10.84,6.7
01/08/2021 02:01,16.07,57,5.46,7.27,8.7,5.4
01/08/2021 03:01,16.22,56.75,4.33,6.08,7.55,4.2
01/08/2021 04:01,16.36,56.74,3.78,5.1,6.16,3.8
01/08/2021 05:01,16.36,56.28,3.86,5.4,6.7,3.8
01/08/2021 06:01,16.68,57.62,3.64,4.97,6.05,3.8
01/08/2021 07:01,16.62,56.81,2.79,3.93,4.9,2.9
01/08/2021 08:01,16.24,55.34,2.6,3.67,4.57,2.5
01/08/2021 09:01,16.24,55.52,2.42,3.86,5.21,2.5
01/08/2021 10:01,16.19,55.12,2.65,3.91,5.03,2.6
01/08/2021 11:01,16.05,53.86,2.93,4.29,5.49,3
01/08/2021 12:01,15.71,51.29,3.2,4.58,5.78,3
01/08/2021 13:01,15.37,47.9,2.98,4.3,5.45,3.1
01/08/2021 14:01,13.44,34.97,2.27,3.34,4.3,3
01/08/2021 15:01,13.71,35.85,2.48,3.47,4.31,3.2
01/08/2021 16:01,13.66,34.06,1.98,2.95,3.82,2.8
01/08/2021 17:01,14.61,39.11,2.18,3.46,4.65,2.6
01/08/2021 18:01,15.72,50.25,3.83,5.25,6.41,5
01/08/2021 19:01,15.62,49.39,5.42,7.12,8.41,6.2
01/08/2021 20:01,15.73,49.72,3.65,5.13,6.38,4.5
01/08/2021 21:01,16.09,50.14,4.94,6.3,7.25,9.6
01/08/2021 22:01,16.48,53.43,26.46,31.45,33.97,19.6
01/08/2021 23:01,16.62,54.16,46.34,54.68,58.62,44.4
02/08/2021 00:01,16.86,54.3,25.48,30.69,33.57,24.1
02/08/2021 01:01,17.13,55.53,33.73,40.6,44.37,29.1
02/08/2021 02:01,17.05,55.13,30.88,38,42.41,28.7
02/08/2021 03:01,16.97,55.14,26.09,31.68,34.92,27.9
02/08/2021 04:01,17,54.58,23.67,29.14,32.53,25.7
02/08/2021 05:01,16.95,54.51,23.82,29.49,33.08,25.6
02/08/2021 06:01,16.68,53.69,20.85,25.46,28.21,23.3
02/08/2021 07:01,16.25,52.05,14.12,17.72,20.13,17.4
02/08/2021 08:01,15.51,47.47,10.33,13.64,16.17,12.3
02/08/2021 09:01,14.91,42.8,7.04,9.31,11.06,8.9
02/08/2021 10:01,14.27,37.55,6.86,9.2,11.04,9.4
02/08/2021 11:01,12.85,29.11,4.94,6.97,8.71,7.4
02/08/2021 12:01,11.85,23.68,3.32,4.51,5.46,5.6
02/08/2021 13:01,11.17,20.24,2.88,4.41,5.82,4.7
02/08/2021 14:01,11.83,23.13,3.54,4.99,6.23,5.6
02/08/2021 15:01,11.06,19.83,3.63,5.04,6.22,5.6
02/08/2021 16:01,11.66,20.87,2.45,3.89,5.25,3.5
02/08/2021 17:01,12.39,24.52,2.6,3.89,5.05,4
02/08/2021 18:01,12.48,24.74,2.47,3.92,5.26,3.6
02/08/2021 19:01,13.06,28.94,2.44,3.71,4.85,3.6
02/08/2021 20:01,13.45,29.75,1.87,3.31,4.73,2.5
02/08/2021 21:01,13.68,33.81,1.9,3.09,4.21,2.9
02/08/2021 22:01,14.59,40.2,2.39,3.59,4.67,3.5
